Flight Number,Origin of Flight,Origin Time,Arrival Time,Airlines
TP - 7028,Frankfurt,21:15,09:35,TAP Portugal
AA - 6663,London,19:25,09:35,American Airlines
LO - 4501,Frankfurt,21:15,09:35,LOT - Polish Airlines
6E - 636,Nagpur,07:50,09:35,IndiGo
UK* - 810,Bengaluru,07:00,09:40,Vistara
UK* - 832,Chennai,06:50,09:40,Vistara
MI - 5214,Bengaluru,07:00,09:40,SilkAir
JL - 5196,Chennai,06:50,09:40,JAL
JL - 5180,Bengaluru,07:00,09:40,JAL
RA - 205,Kathmandu,08:00,09:40,Nepal Airlines
BA - 5836,Bengaluru,07:00,09:40,British Airways
SQ - 4726,Bengaluru,07:00,09:40,Singapore Airlines
SQ - 4770,Chennai,06:50,09:40,Singapore Airlines
SG - 8937,Pune,07:20,09:40,SpiceJet
MI - 5241,Chennai,06:50,09:40,SilkAir
6E - 6571,Pune,07:30,09:45,IndiGo
SG - 8475,Surat Gujarat,08:00,09:50,SpiceJet
AI - 852,Pune,07:40,09:50,Air India
6E - 2036,Bhopal,08:30,09:50,IndiGo
G8 - 204,Leh,08:20,09:55,GoAir
SG - 104,Chennai,07:00,09:55,SpiceJet
I5* - 551,Kolkata,07:35,09:55,AirAsia India
TK - 4664,Hyderabad,07:40,10:00,Turkish Airlines
6E - 846,Hyderabad,07:40,10:00,IndiGo
G8 - 136,Patna,08:15,10:00,GoAir
6E - 2025,Varanasi,08:20,10:05,IndiGo
TK - 4676,Bengaluru,07:10,10:05,Turkish Airlines
AI - 154,Vienna,22:45,10:05,Air India
6E - 2228,Bengaluru,07:10,10:05,IndiGo
JP - 9431,Vienna,22:45,10:05,Adria Airways
G8 - 327,Mumbai,07:55,10:05,GoAir
LO - 4505,Vienna,22:45,10:05,LOT - Polish Airlines
6E - 964,Mumbai,07:50,10:05,IndiGo
OS - 8581,Vienna,22:45,10:05,Austrian
TP - 7048,Vienna,22:45,10:05,TAP Portugal
AI - 914,Dammam,03:45,10:05,Air India
B3* - 773,Paro,08:30,10:10,Bhutan Airlines
AI - 348,Mumbai,07:55,10:10,Air India
HM - 6502,Mumbai,07:55,10:10,Air Seychelles
G8 - 2510,Lucknow,08:30,10:10,GoAir
AI - 9814,Dharamsala,08:30,10:15,Air India
AI - 991,Lucknow,08:55,10:15,Air India
CD - 814,Dharamsala,08:30,10:15,Alliance Air
MK - 8022,Mumbai,08:00,10:15,Air Mauritius
HM - 6504,Mumbai,08:00,10:15,Air Seychelles
AI - 806,Mumbai,08:00,10:15,Air India
SG - 130,Kolkata,07:40,10:20,SpiceJet
6E - 733,Lucknow,08:50,10:20,IndiGo
SG - 2196,Jabalpur,08:15,10:20,SpiceJet
UK* - 946,Ahmedabad,08:35,10:25,Vistara
SQ - 4756,Ahmedabad,08:35,10:25,Singapore Airlines
